地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误
臺南市安平區永華路二段898號,120.1667371,22.9919836,ROOFTOP,,,wgs84,
臺南市新營區三興街380號,120.309486,23.3227773,ROOFTOP,,,wgs84,
臺南市新營區三興街380號,120.309486,23.3227773,ROOFTOP,,,wgs84,
臺南市新營區中華路2號,120.3152531,23.3053211,ROOFTOP,,,wgs84,
臺南市柳營區士林里博愛街20號,120.3111888,23.2780821,ROOFTOP,,,wgs84,
臺南市鹽水區武廟路21號,120.2659385,23.3253211,ROOFTOP,,,wgs84,
臺南市白河區中山路6號,120.4142291,23.3475357,ROOFTOP,,,wgs84,
臺南市關嶺里5鄰關子嶺94-3號,120.5077566,23.3313511,ROOFTOP,,,wgs84,
臺南市後壁區後壁里7號,120.3579632,23.3632139,APPROXIMATE,,,wgs84,
臺南市東山區東山里219之2號,120.4026318,23.3282152,APPROXIMATE,,,wgs84,
臺南市東山區東原里前大埔9之1號,120.447212,23.267852,GEOMETRIC_CENTER,,,wgs84,
臺南市麻豆區興國路9號3樓,120.2485042,23.1833371,ROOFTOP,,,wgs84,
臺南市南化區南化里226之2號,120.478965,23.0426147,APPROXIMATE,,,wgs84,
臺南市玉井區中山路2之2號,120.4595058,23.1195369,ROOFTOP,,,wgs84,
臺南市楠西區信義路66巷3號,120.488827,23.1753377,RANGE_INTERPOLATED,,,wgs84,
臺南市麻豆區興國路9號,120.2485042,23.1833371,ROOFTOP,,,wgs84,
臺南市下營區賀建里洲仔66號,120.2887685,23.2491677,APPROXIMATE,,,wgs84,
臺南市六甲區中山路208號,120.3471577,23.2319172,ROOFTOP,,,wgs84,
臺南市官田區工業路24號,120.3226608,23.2092039,ROOFTOP,,,wgs84,
臺南市佳里區六安里六順路21號,120.1753685,23.1710453,ROOFTOP,,,wgs84,
臺南市學甲區建國東路236號,120.1834025,23.2300082,ROOFTOP,,,wgs84,
臺南市北門區永隆里港北51號,120.1170664,23.276035,APPROXIMATE,,,wgs84,
臺南市將軍區西華里1之15號,120.1546002,23.1982988,APPROXIMATE,,,wgs84,
臺南市佳里區六安里六順路21號,120.1753685,23.1710453,ROOFTOP,,,wgs84,
臺南市西港區中山路450號,120.2029891,23.1256167,ROOFTOP,,,wgs84,
臺南市七股區大埕里295號,120.144496,23.1453614,APPROXIMATE,,,wgs84,
臺南市善化區南科九路20號3F,120.2705465,23.117003,ROOFTOP,,,wgs84,
臺南市山上區山上里35之1號,120.3594043,23.101435,APPROXIMATE,,,wgs84,
臺南市新市區民生路230號,120.2865291,23.0811748,ROOFTOP,,,wgs84,
臺南市善化區南科九路20號,120.2705465,23.117003,ROOFTOP,,,wgs84,
臺南市左鎮區睦光里3-6號,120.4213592,23.0601765,APPROXIMATE,,,wgs84,
臺南市善化區光復路267號,120.2891508,23.1271391,ROOFTOP,,,wgs84,
臺南市大內區石城里74號,120.3507571,23.1193553,APPROXIMATE,,,wgs84,
臺南市安定區南安里33-11號,120.2267506,23.1052556,APPROXIMATE,,,wgs84,
臺南市新化區信義路59號,120.3162939,23.03827,ROOFTOP,,,wgs84,
臺南市永康區東橋七路316號,120.2366148,23.0232369,ROOFTOP,,,wgs84,
臺南市永康區東橋七路316號,120.2366148,23.0232369,ROOFTOP,,,wgs84,
臺南市安平區永華路二段898號,120.1667371,22.9919836,ROOFTOP,,,wgs84,
臺南市歸仁區中正南路一段1207號,120.2780449,22.9474499,ROOFTOP,,,wgs84,
臺南市歸仁區中正北路三段16號,120.292852,22.9903924,ROOFTOP,,,wgs84,
臺南市仁德區仁義路432號,120.2578259,22.9684454,ROOFTOP,,,wgs84,
臺南市關廟區關廟里中山路二段185號,120.3241726,22.9603921,ROOFTOP,,,wgs84,
臺南市仁德區三甲里三甲子58-9號,120.2368486,22.9326731,APPROXIMATE,,,wgs84,
臺南市永康區正強街10號,120.2525708,23.0243325,ROOFTOP,,,wgs84,
臺南市永康區民族路297號,120.2688843,23.0057001,ROOFTOP,,,wgs84,
臺南市永康區中正南路426號,120.2302495,23.0347603,ROOFTOP,,,wgs84,
臺南市永康區復興路172號,120.2445758,22.9991588,ROOFTOP,,,wgs84,
臺南市龍崎區崎頂里新市仔115號,120.304336,23.0376681,ROOFTOP,,,wgs84,
臺南市北區文賢路678號,120.1941617,23.0103867,ROOFTOP,,,wgs84,
臺南市北區文賢路678號,120.1941617,23.0103867,ROOFTOP,,,wgs84,
臺南市安南區海佃路三段63號,120.1822999,23.048657,ROOFTOP,,,wgs84,
臺南市安南區安和路三段54巷16號,120.2181199,23.044421,ROOFTOP,,,wgs84,
臺南市安南區安明路四段260號,120.1343115,23.0589683,ROOFTOP,,,wgs84,
臺南市安平區永華路二段206號,120.1824124,22.9898614,ROOFTOP,,,wgs84,
臺南市安平區安北路38號,120.1671661,23.000462,ROOFTOP,,,wgs84,
臺南市北區公園北路108號,120.2096649,23.0049327,ROOFTOP,,,wgs84,
臺南市南區南門路273號,120.203813,22.9787056,ROOFTOP,,,wgs84,
臺南市南區南門路273號,120.203813,22.9787056,ROOFTOP,,,wgs84,
臺南市東區崇善路740號,120.2323457,22.9665855,ROOFTOP,,,wgs84,
臺南市東區林森路一段320號,120.2204334,22.9833046,ROOFTOP,,,wgs84,
臺南市東區裕孝路120號,120.2432045,22.9862463,ROOFTOP,,,wgs84,
臺南市中區中正路2之1號,120.1960661,22.9900864,ROOFTOP,,,wgs84,
臺南市南區德興路100號,120.1923374,22.9642355,ROOFTOP,,,wgs84,
臺南市南區灣裡路61巷6號,120.181421,22.9327559,ROOFTOP,,,wgs84,
